"Name","TotalScore","LowVolume","HighVolume"
"1-IF-SingleObject-Contains","1","1","NaN"
"1-SingleObject-in","1.0042372881355932","1.0042372881355932","NaN"
"1-IF-SingleObject_PreRenderHash","1.0042372881355932","1.0042372881355932","NaN"
"1-SingleObject_IndexOf()","1.0190677966101696","1.0190677966101696","NaN"
"1-SingleObject-Contains","1.0381355932203389","1.0381355932203389","NaN"
"1-SingleObject-EQ","1.1059322033898304","1.1059322033898304","NaN"
"1-SingleObject_Contain()","1.1144067796610169","1.1144067796610169","NaN"
"1-SingleObject_PreRenderHash","1.1228813559322033","1.1228813559322033","NaN"
"1-IF-SingleObject-EQ","1.1483050847457628","1.1483050847457628","NaN"
"1-SingleObject-NOT-EQ","1.1504237288135593","1.1504237288135593","NaN"
"3-SingleObject-EQ","1.157185628742515","1.157185628742515","NaN"
"1-IF-SingleObject-NOT-EQ","1.1610169491525424","1.1610169491525424","NaN"
"1-IF-SingleObject-in","1.1864406779661016","1.1864406779661016","NaN"
"3-IF-SingleObject-NOT-EQ","1.2335329341317365","1.2335329341317365","NaN"
"3-SingleObject-NOT-EQ","1.2979041916167664","1.2979041916167664","NaN"
"multipleObject_IndexOf","1.3024396123008222","1.3024396123008222","NaN"
"multipleObject_EQ","1.33666776616259","1.33666776616259","NaN"
"3-IF-SingleObject-Contains","1.3517964071856288","1.3517964071856288","NaN"
"1-IF-SingleObject_IndexOf()","1.3644067796610169","1.3644067796610169","NaN"
"multipleObject_In","1.3834745762711864","1.3834745762711864","NaN"
"3-IF-SingleObject-EQ","1.4191616766467066","1.4191616766467066","NaN"
"1-IF-SingleObject-Match","1.4216101694915255","1.4216101694915255","NaN"
"3-IF-SingleObject-in","1.4221556886227544","1.4221556886227544","NaN"
"1-SingleObject-Match","1.4385593220338984","1.4385593220338984","NaN"
"3-IF-SingleObject_PreRenderHash","1.4416167664670658","1.4416167664670658","NaN"
"multipleObject_Match","1.4532058763828275","1.4532058763828275","NaN"
"1-SingleObject_Hash","1.7881355932203389","1.7881355932203389","NaN"
"1-SingleObject_Hash+init","1.798728813559322","1.798728813559322","NaN"
"multipleObject_Contains()","1.8183675022835684","1.8183675022835684","NaN"
"3-IF-SingleObject_Contain()","1.8248502994011977","1.8248502994011977","NaN"
"1-IF-SingleObject_Hash","1.9978813559322033","1.9978813559322033","NaN"
"1-IF-SingleObject_Hash+init","2.0063559322033897","2.0063559322033897","NaN"
"3-SingleObject_PreRenderHash","2.269461077844311","2.269461077844311","NaN"
"3-IF-SingleObject_Hash+init","2.345808383233533","2.345808383233533","NaN"
"multipleObject_MatchJoinedString","2.3549299705673397","2.3549299705673397","NaN"
"3-IF-SingleObject-Match","2.4565868263473054","2.4565868263473054","NaN"
"1-IF-SingleObject_Contain()","2.4661016949152543","2.4661016949152543","NaN"
"multipleObject_Hash","2.6612389627524613","2.6612389627524613","NaN"
"3-IF-SingleObject_Hash","2.7395209580838324","2.7395209580838324","NaN"
"3-SingleObject-in","2.7994011976047903","2.7994011976047903","NaN"
"3-SingleObject-Contains","2.931137724550898","2.931137724550898","NaN"
"3-IF-SingleObject_IndexOf()","3.095808383233533","3.095808383233533","NaN"
"multipleObject_Contains","3.3220846442707805","3.3220846442707805","NaN"
"3-SingleObject_Hash","3.8353293413173652","3.8353293413173652","NaN"
"3-SingleObject_IndexOf()","4.047904191616767","4.047904191616767","NaN"
"3-SingleObject_Hash+init","7.485029940119761","7.485029940119761","NaN"
"3-SingleObject_Contain()","7.610778443113772","7.610778443113772","NaN"
"3-SingleObject-Match","36.80239520958084","36.80239520958084","NaN"
